objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,type,specobjid,class,subClass,redshift,plate,mjd,fiberid,sourceType,nvote,p_el,p_cw,p_acw,p_edge,p_dk,p_mg
1.23765E+18,236.5553002,-0.087103719,22.516,21.33975,19.95258,19.43013,19.09719,756,301,3,806,1.127127,2.229303,2.243557,2.151922,2.235866,2.058871,2.086662,2.052678,2.029253,2.054917,0.9473884,1.391464,1.185517,1.101914,1.232145,1.801167,3.618217,2.553814,2.64596,4.397729,3,3.85119E+17,QSO,AGN BROADLINE,0.3834768,342,51691,224,SERENDIPITY_FIRST,37,0.783999979,0,0,0.081,0.135000005,0
1.23765E+18,236.5980406,-0.061588471,25.50003,21.14153,19.36414,18.48174,17.9979,756,301,3,807,-9999,2.085079,2.188015,2.26309,2.261699,2.04675,2.085109,2.0482,2.024153,2.05787,5.991962,1.216443,1.482434,1.486537,1.320897,6.161008,3.008872,4.609597,4.307187,2.780494,3,3.85123E+17,GALAXY,,0.4692124,342,51691,238,GALAXY,35,0.742999971,0,0,0,0.256999999,0
1.23766E+18,236.5761292,-0.558344379,19.58582,18.27513,17.73832,17.5307,17.38339,2379,301,6,183,1.949957,2.143319,2.159873,2.178982,2.130519,2.092095,2.099056,2.069946,2.059014,2.050271,1.05257,0.9034487,0.8143555,0.8211324,0.8172467,2.549429,1.897532,1.833178,1.865114,1.847577,3,3.85129E+17,STAR,F9,-0.000559197,342,51691,259,GALAXY,53,0.340000004,0.018999999,0,0.075000003,0.414999992,0.150999993
1.23765E+18,236.2212489,0.354119318,18.47354,16.87196,16.0888,15.65484,15.30592,756,301,4,804,2.196744,2.166234,2.212839,2.232744,2.271082,2.044139,2.057309,2.045673,2.025012,2.034343,3.413652,4.76264,4.395491,4.020396,3.487895,7.079638,11.47239,10.42311,9.419136,7.882608,3,3.85164E+17,GALAXY,STARFORMING,0.03281321,342,51691,385,GALAXY,23,0.34799999,0,0,0.65200001,0,0
1.23765E+18,237.2360582,0.313860574,23.17962,20.30925,18.561,17.92437,17.52167,756,301,4,811,1.099262,2.287295,2.28572,2.254135,2.265585,2.047422,2.077437,2.017277,2.022874,2.04019,-9999,1.800101,1.537602,1.588633,1.617504,-9999,4.493362,4.581909,5.162429,4.385377,3,3.85196E+17,GALAXY,,0.3678275,342,51691,503,GALAXY,58,0.861999989,0.017000001,0,0.034000002,0.086000003,0
1.23765E+18,237.1849645,0.364071626,23.99866,20.51637,18.80328,18.16056,17.7565,756,301,4,811,0.4546195,2.268983,2.192999,2.191538,2.128118,2.048484,2.071332,2.020367,2.021136,2.034734,-9999,1.258565,1.146041,1.091251,1.093391,-9999,2.788676,3.152341,3.08757,3.059062,3,3.85197E+17,GALAXY,,0.3219294,342,51691,505,GALAXY,52,0.75,0,0.018999999,0.018999999,0.211999997,0
1.23765E+18,237.1532431,0.359312101,21.77868,20.59425,18.75784,18.07344,17.58847,756,301,4,810,1.47209,2.398869,2.327696,2.363081,2.301394,2.052212,2.072825,2.0197,2.020781,2.035631,0.8379865,2.416435,1.860075,2.006195,1.667476,1.238135,4.79008,4.806461,5.695769,5.527948,3,3.85197E+17,GALAXY,,0.3678075,342,51691,507,GALAXY,41,0.707000017,0,0.024,0.072999999,0.171000004,0.024
1.23765E+18,237.4036763,0.212887877,17.99224,16.60941,16.04843,15.83006,15.70121,752,301,4,627,2.040702,2.038493,2.050745,2.004422,1.995514,2.078321,2.092818,2.088859,2.101182,2.078188,1.011129,0.9466859,0.9583408,0.9806221,0.9572834,2.056426,1.902933,1.924551,1.998035,1.882297,3,3.85207E+17,STAR,F9,-5.97E-05,342,51691,542,QSO,28,0.286000013,0,0,0.035999998,0.606999993,0.071000002
1.23765E+18,237.2868784,0.241619755,21.67226,19.45329,17.9202,17.34685,17.03238,756,301,4,811,1.433086,2.313138,2.262114,2.285616,2.255678,2.052526,2.080647,2.021643,2.022405,2.048363,5.90905,1.823963,1.620002,1.656555,1.79727,7.297155,4.463465,4.454171,4.696837,5.010354,3,3.85212E+17,GALAXY,,0.2758664,342,51691,560,GALAXY,65,0.814999998,0,0.015,0.077,0.092,0
1.23765E+18,237.7400962,0.338369427,25.59228,21.08373,19.20071,18.55249,18.24132,745,301,4,528,-0.5367675,2.218874,2.248462,2.247639,2.229461,2.075243,2.127472,2.11436,2.110712,2.106869,3.310238,1.413067,1.200872,1.266231,1.292848,3.766324,3.751511,3.37158,3.668597,4.116084,3,3.85218E+17,GALAXY,,0.3371174,342,51691,583,GALAXY,50,0.75999999,0.02,0,0.100000001,0.119999997,0
1.23767E+18,240.1853046,-0.568755083,19.55941,18.19646,17.66891,17.30093,17.10678,5377,301,3,12,2.100679,2.255963,2.263435,2.218033,2.24805,2.106048,2.110891,2.11451,2.118397,2.120904,2.74063,3.328269,3.295525,3.23063,2.629596,4.272405,7.110316,7.476904,7.563485,5.00182,3,3.86189E+17,GALAXY,STARFORMING,0.05479046,343,51692,21,GALAXY,67,0.372999996,0.029999999,0.029999999,0.372999996,0.179000005,0.015
1.23767E+18,240.3588796,-0.511172505,19.07596,17.20806,16.22711,15.68797,15.30157,5377,301,3,13,0.7150809,2.315316,2.331254,2.347477,2.384014,2.094698,2.116323,2.106491,2.113003,2.123808,4.84035,3.513497,3.454412,3.416281,3.094779,11.69558,8.090583,8.256196,8.60611,7.65016,3,3.8619E+17,GALAXY,STARFORMING,0.05657526,343,51692,23,GALAXY,31,0.386999995,0.160999998,0.064999998,0.386999995,0,0
1.23767E+18,240.2933076,-0.60963978,19.05684,17.74297,17.08681,16.68915,16.37508,5377,301,3,13,2.000754,2.118586,2.208209,2.25654,2.31819,2.105908,2.111752,2.107563,2.131871,2.1204,4.620058,3.889571,3.713058,3.692046,3.382731,9.827512,8.877074,8.305277,8.517969,7.396327,3,3.86191E+17,GALAXY,STARFORMING,0.05284701,343,51692,25,GALAXY,33,0.241999999,0.061000001,0.029999999,0.635999978,0.029999999,0
1.23767E+18,240.3063186,-0.586542405,19.25862,17.28733,16.20604,15.62521,15.15385,5377,301,3,13,2.220211,2.500936,2.439898,2.432726,2.413319,2.106288,2.112231,2.109025,2.129561,2.120185,3.003894,3.767668,3.514602,3.398045,3.160016,8.485078,10.84757,10.4106,10.18907,10.15204,3,3.86191E+17,GALAXY,,0.05644755,343,51692,27,GALAXY,27,0.074000001,0.037,0,0.888999999,0,0
1.23767E+18,240.3150518,-0.538861372,19.86198,18.31688,17.70251,17.35742,17.13007,5377,301,3,13,2.52702,2.36123,2.323013,2.350961,2.346909,2.101559,2.11186,2.107622,2.119671,2.121554,3.161698,3.252064,3.032667,3.131546,3.189551,6.132102,8.060226,7.65489,7.853592,8.333101,3,3.86192E+17,GALAXY,STARFORMING,0.0531863,343,51692,30,QA,24,0.166999996,0.041999999,0.25,0.458000004,0.082999997,0
1.23767E+18,240.311209,-0.608352563,20.8593,18.639,17.47717,16.97733,16.54683,5377,301,3,13,0.8806217,2.369119,2.3112,2.321788,2.340214,2.106166,2.113396,2.106908,2.134026,2.121592,4.028966,2.230645,2.277067,2.414164,2.375262,8.211364,7.049561,6.87911,7.500222,7.6229,3,3.86193E+17,GALAXY,,0.1216729,343,51692,35,GALAXY,51,0.862999976,0.02,0.02,0.039000001,0.059,0
